Symbol,"Company Name",Sector,"Final Status","Business Reasoning / Justification","Market Cap","Total Assets","Total Debt",Cash,"Interest Income","Total Revenue","Debt Ratio","Cash Ratio","Impure Ratio"
AFROMEDIA,"AFROMEDIA PLC",Services,doubtful,"Outdoor advertising/media - check client mix (alcohol/betting ad revenue share).",1065371276.64,0,0,0,0,0,0.0000,0.0000,0.0000
VSPBONDETF,VSPBONDETF,"EXCHANGE TRADED FUND",non-halal,"Vetiva S&P Nigeria Sovereign Bond ETF - holds a basket of Federal Government of Nigeria bonds and generates its return from fixed coupon (interest) income; a conventional fixed-income instrument, which is riba by definition.",0,0,0,0,0,0,0.0000,0.0000,0.0000
IMG,"INDUSTRIAL & MEDICAL GASES NIGERIA PLC","Natural Resources",halal,"Mining/resources - permissible core activity.",24929290106.6,14821883000,135665000,1837523000,149959000,3898478000,0.0054,0.0000,0.0385
TIP,TIP,Services,halal,"The Initiates Plc - Nigeria's only listed environmental/waste management solutions company. Core activities: hazardous and non-hazardous waste treatment, asbestos handling, wastewater treatment, e-waste processing, thermal desorption, and industrial cleaning/decontamination services, primarily serving the Oil & Gas sector. ISO 9001:2015 and 14001:2015 certified. Expanding via majority-owned Uganda subsidiary, funded through internal cash flow (no conventional debt). Permissible core activity.",24029501904,23400000000,0,5680000000,115500000,6951000000,0.0000,0.1052,0.0166
SOVRENINS,"SOVEREIGN TRUST INSURANCE PLC","Financial Services",non-halal,"Conventional insurance - riba/gharar in contract structure.",23760992936.61,0,0,0,0,0,0.0000,0.0000,0.0000
STANBICETF30,STANBICETF30,"EXCHANGE TRADED FUND",non-halal,"Stanbic IBTC ETF 30 - tracks the same NGX 30 Index as VETGRIF30, so it directly holds conventional banks and other impermissible constituents as core portfolio holdings.",0,0,0,0,0,0,0.0000,0.0000,0.0000
VETBANK,VETBANK,"EXCHANGE TRADED FUND",non-halal,"This ETF tracks the NGX Banking Index, thereby investing exclusively in conventional, interest-based banks.",0,0,0,0,0,0,0.0000,0.0000,0.0000
MORISON,"MORISON INDUSTRIES PLC.",Healthcare,halal,"{""justification"":""Permissible core activity.""}",13062400000,1910000000,0,272220000,0,274080000,0.0128,0.0104,0.0109
ZICHIS,ZICHIS,Agriculture,non-halal,"The company's stated business lines include pig farming (swine production), which is categorically excluded under Shariah screening principles.",12930000000,0,0,0,0,0,0.0000,0.0000,0.0000
PHARMDEKO,"PHARMA-DEKO PLC.",Healthcare,halal,"Pharmaceuticals manufacturing - permissible core activity.",396781419.84,0,0,0,0,0,0.0000,0.0000,0.0000
AVACAP,AVACAP,"Financial Services",non-halal,"The company directly operates microfinance and consumer lending subsidiaries as core segments, constituting impermissible interest-based banking activities.",0,0,0,0,0,0,0.0000,0.0000,0.0000
HBMNG,"HBM NIGERIA PLC","Industrial Goods",halal,"Cement manufacturing (formerly Lafarge Africa) - permissible core activity.",5798806459560,1305733123000,1232559000,330642303000,27007477000,678410621000,0.0000,0.0673,0.0398
VETGOODS,"Vetiva Consumer Goods ETF","EXCHANGE TRADED FUND",doubtful,"The ETF tracks the Consumer Goods Index, which requires verification of constituent weights to ensure it does not hold impermissible breweries.",0,0,0,0,0,0,0.0000,0.0000,0.0000
AFRINSURE,"AFRICAN ALLIANCE INSURANCE PLC","Financial Services",non-halal,"Conventional insurance - riba/gharar in contract structure.",4117000000,0,0,0,0,0,0.0000,0.0000,0.0000
AVAIF,AVAIF,"Construction/real Estate",non-halal,"The fund's primary activity is providing private credit and interest-based debt financing for infrastructure projects.",4075000000,0,0,0,0,0,0.0000,0.0000,0.0000
PREMPAINTS,"PREMIER PAINTS PLC.","Industrial Goods",halal,"Paints manufacturing - permissible core activity.",3739200000,155380000,180590000,53000,0,37501000,0.0005,0.0000,0.0000
VETGRIF30,VETGRIF30,"EXCHANGE TRADED FUND",non-halal,"The ETF passively tracks an index containing conventional banks and other impermissible companies as core portfolio constituents.",0,0,0,0,0,0,0.0000,0.0000,0.0000
NEWGOLD,"NEWGOLD EXCHANGE TRADED FUND",Financials,doubtful,"The fund holds physical gold, but its custodial and settlement structure requires confirmation to ensure it meets AAOIFI Shariah standards for immediate possession and settlement.",42000000000,0,0,0,0,0,0.0000,0.0000,0.0000
MERVALUE,"Meristem Value ETF","EXCHANGE TRADED FUND",doubtful,"Meristem Value ETF - tracks a value-oriented basket of NGX-listed equities (Meristem Value Index); same open question as MERGROWTH - constituent sector mix needs verification before resolving to PASS or FAIL.",0,0,0,0,0,0,0.0000,0.0000,0.0000
SIAMLETF40,SIAMLETF40,"EXCHANGE TRADED FUND",non-halal,"SIAML Pension ETF 40 - tracks the NGX Pension Index (top 40 pension-fund-eligible companies across all sectors), which includes conventional banks and insurers as core constituents; a broad-based tracker cannot exclude these impermissible holdings.",0,0,0,0,0,0,0.0000,0.0000,0.0000
ALEX,"ALUMINIUM EXTRUSION IND. PLC.","Natural Resources",halal,"Mining/resources - permissible core activity.",2177564400,0,0,0,0,0,0.0000,0.0000,0.0000
VETINDETF,"Vetiva Industrial ETF","EXCHANGE TRADED FUND",doubtful,"The ETF tracks the Industrial Index, but its exact constituent list and weights require verification before resolving to a full pass.",0,0,0,0,0,0,0.0000,0.0000,0.0000
ABBEYBANK,ABBEYBANK,"Financial Services",non-halal,"Conventional bank - interest-based lending/deposits (riba).",0,0,0,0,0,0,0.0000,0.0000,0.0000
CMFC,"CMFC [DWL]","Financial Services",non-halal,"The company operates as a specialized financing platform whose capital structuring and financing solutions are overwhelmingly monetized through impermissible structured debt and interest spreads.",0,0,0,0,0,0,0.0000,0.0000,0.0000
